추첨일,회차,당첨번호,보너스번호,1등_총당첨금액,1등_당첨게임수,1등_1게임당당첨금액,2등_총당첨금액,2등_당첨게임수,2등_1게임당당첨금액,3등_총당첨금액,3등_당첨게임수,3등_1게임당당첨금액,4등_총당첨금액,4등_당첨게임수,4등_1게임당당첨금액,5등_총당첨금액,5등_당첨게임수,5등_1게임당당첨금액,자동/반자동/수동,총판매금액
(2019- 09- 21),877회,"5, 17, 18, 22, 23, 43",12,"20,599,286,256원",12,"1,716,607,188원","3,433,214,400원",75,"45,776,192원","3,433,214,939원","2,167","1,584,317원","5,490,300,000원","109,806","50,000원","9,336,350,000원","1,867,270","5,000원",당첨번호 6개 숫자일치,"84,584,730,000원"
(2019- 09- 28),878회,"2, 6, 11, 16, 25, 31",3,"19,247,961,000원",6,"3,207,993,500원","3,207,993,540원",69,"46,492,660원","3,207,993,699원","2,971","1,079,769원","6,456,950,000원","129,139","50,000원","9,970,940,000원","1,994,188","5,000원",당첨번호 6개 숫자일치,"84,183,676,000원"
(2019- 10- 05),879회,"1, 4, 10, 14, 15, 35",20,"19,238,167,878원",6,"3,206,361,313원","3,206,361,389원",77,"41,641,057원","3,206,362,986원","2,594","1,236,069원","6,174,850,000원","123,497","50,000원","9,761,385,000원","1,952,277","5,000원",당첨번호 6개 숫자일치,"83,174,251,000원"
(2019- 10- 12),880회,"7, 17, 19, 23, 24, 45",38,"19,864,673,255원",7,"2,837,810,465원","3,310,778,900원",52,"63,668,825원","3,310,780,044원","2,332","1,419,717원","5,749,700,000원","114,994","50,000원","9,695,320,000원","1,939,064","5,000원",당첨번호 6개 숫자일치,"83,862,502,000원"
(2019- 10- 19),881회,"4, 18, 20, 26, 27, 32",9,"20,025,698,256원",8,"2,503,212,282원","3,337,616,390원",67,"49,815,170원","3,337,616,458원","2,189","1,524,722원","5,847,600,000원","116,952","50,000원","9,699,245,000원","1,939,849","5,000원",당첨번호 6개 숫자일치,"84,495,552,000원"
(2019- 10- 26),882회,"18, 34, 39, 43, 44, 45",23,"20,636,352,000원",5,"4,127,270,400원","3,439,392,000원",44,"78,168,000원","3,439,393,212원","2,082","1,651,966원","5,461,300,000원","109,226","50,000원","9,199,365,000원","1,839,873","5,000원",당첨번호 6개 숫자일치,"84,351,602,000원"
(2019- 11- 02),883회,"9, 18, 32, 33, 37, 44",22,"20,407,792,875원",15,"1,360,519,525원","3,401,298,875원",65,"52,327,675원","3,401,300,700원","2,538","1,340,150원","5,980,650,000원","119,613","50,000원","9,621,045,000원","1,924,209","5,000원",당첨번호 6개 숫자일치,"85,624,171,000원"
(2019- 11- 09),884회,"4, 14, 23, 28, 37, 45",17,"21,588,927,384원",12,"1,799,077,282원","3,598,154,614원",74,"48,623,711원","3,598,155,966원","2,207","1,630,338원","5,403,800,000원","108,076","50,000원","9,088,270,000원","1,817,654","5,000원",당첨번호 6개 숫자일치,"86,554,613,000원"
(2019- 11- 16),885회,"1, 3, 24, 27, 39, 45",31,"20,069,823,384원",13,"1,543,832,568원","3,344,970,608원",56,"59,731,618원","3,344,972,623원","2,279","1,467,737원","5,591,600,000원","111,832","50,000원","9,346,795,000원","1,869,359","5,000원",당첨번호 6개 숫자일치,"83,396,319,000원"
(2019- 11- 23),886회,"19, 23, 28, 37, 42, 45",2,"20,822,506,502원",7,"2,974,643,786원","3,470,417,760원",59,"58,820,640원","3,470,418,740원","2,140","1,621,691원","5,488,300,000원","109,766","50,000원","8,841,405,000원","1,768,281","5,000원",당첨번호 6개 숫자일치,"84,186,094,000원"
(2019- 11- 30),887회,"8, 14, 17, 27, 36, 45",10,"20,282,149,504원",8,"2,535,268,688원","3,380,358,300원",66,"51,217,550원","3,380,359,668원","2,388","1,415,561원","5,735,950,000원","114,719","50,000원","9,429,620,000원","1,885,924","5,000원",당첨번호 6개 숫자일치,"84,416,872,000원"
