회차,추첨일,1등_당첨자수,1등_게임당_당첨금액,당첨번호_1,당첨번호_2,당첨번호_3,당첨번호_4,당첨번호_5,당첨번호_6,보너스번호,당첨번호_합,당첨번호_평균,당첨번호_홀짝비율,자동_당첨자수,수동_당첨자수,반자동_당첨자수,1등_당첨판매점
64,2004년 02월 21일,0,15599272000,14,15,18,21,26,36,39,130,21.67,2:4,0,0,0,
65,2004년 02월 28일,0,14911783200,4,25,33,36,40,43,39,181,30.17,3:3,0,0,0,
66,2004년 03월 06일,0,14740552800,2,3,7,17,22,24,45,75,12.5,3:3,0,0,0,
67,2004년 03월 13일,0,14801055500,3,7,10,15,36,38,33,109,18.17,3:3,0,0,0,
68,2004년 03월 20일,0,14729410500,10,12,15,16,26,39,38,118,19.67,2:4,0,0,0,
69,2004년 03월 27일,0,14888136600,5,8,14,15,19,39,35,100,16.67,4:2,0,0,0,
70,2004년 04월 03일,0,15093833400,5,19,22,25,28,43,26,142,23.67,4:2,0,0,0,
71,2004년 04월 10일,0,0,5,9,12,16,29,41,21,112,18.67,4:2,0,0,0,
72,2004년 04월 17일,0,42386819800,2,4,11,17,26,27,1,87,14.5,3:3,0,0,0,
73,2004년 04월 24일,0,16599972600,3,12,18,32,40,43,38,148,24.67,2:4,0,0,0,
74,2004년 05월 01일,0,15854849400,6,15,17,18,35,40,23,131,21.83,3:3,0,0,0,
75,2004년 05월 08일,0,15658467600,2,5,24,32,34,44,28,141,23.5,1:5,0,0,0,
76,2004년 05월 15일,0,14902045200,1,3,15,22,25,37,43,103,17.17,5:1,0,0,0,
77,2004년 05월 22일,0,15467275800,2,18,29,32,43,44,37,168,28.0,2:4,0,0,0,
78,2004년 05월 29일,0,14079400000,10,13,25,29,33,35,38,145,24.17,5:1,0,0,0,
79,2004년 06월 05일,0,13665775200,3,12,24,27,30,32,14,128,21.33,2:4,0,0,0,
80,2004년 06월 12일,0,13809540000,17,18,24,25,26,30,1,140,23.33,2:4,0,0,0,
81,2004년 06월 19일,0,13571444400,5,7,11,13,20,33,6,89,14.83,5:1,0,0,0,
82,2004년 06월 26일,0,14562494400,1,2,3,14,27,42,39,89,14.83,3:3,0,0,0,
83,2004년 07월 03일,0,14173896600,6,10,15,17,19,34,14,101,16.83,3:3,0,0,0,
84,2004년 07월 10일,0,15339558000,16,23,27,34,42,45,11,187,31.17,3:3,0,0,0,
85,2004년 07월 17일,0,13848439200,6,8,13,23,31,36,21,117,19.5,3:3,0,0,0,
86,2004년 07월 24일,0,14252186400,2,12,37,39,41,45,33,176,29.33,4:2,0,0,0,
87,2004년 07월 31일,0,19792938605,4,12,16,23,34,43,26,132,22.0,2:4,0,0,0,
88,2004년 08월 07일,0,12278838600,1,17,20,24,30,41,27,133,22.17,3:3,0,0,0,
89,2004년 08월 14일,0,12744965700,4,26,28,29,33,40,37,160,26.67,2:4,0,0,0,
90,2004년 08월 21일,0,13165741200,17,20,29,35,38,44,10,183,30.5,3:3,0,0,0,
91,2004년 08월 28일,0,14331609600,1,21,24,26,29,42,27,143,23.83,3:3,0,0,0,
92,2004년 09월 04일,0,13565979306,3,14,24,33,35,36,17,145,24.17,3:3,0,0,0,
93,2004년 09월 11일,0,13615068900,6,22,24,36,38,44,19,170,28.33,0:6,0,0,0,
94,2004년 09월 18일,0,13472039700,5,32,34,40,41,45,6,197,32.83,3:3,0,0,0,
95,2004년 09월 25일,0,13981929904,8,17,27,31,34,43,14,160,26.67,4:2,0,0,0,
96,2004년 10월 02일,0,12929934605,1,3,8,21,22,31,20,86,14.33,4:2,0,0,0,
97,2004년 10월 09일,0,13465926000,6,7,14,15,20,36,3,98,16.33,2:4,0,0,0,
98,2004년 10월 16일,0,12711889200,6,9,16,23,24,32,43,110,18.33,2:4,0,0,0,
99,2004년 10월 23일,0,13015314300,1,3,10,27,29,37,11,107,17.83,5:1,0,0,0,
100,2004년 10월 30일,0,13261262100,1,7,11,23,37,42,6,121,20.17,5:1,0,0,0,
101,2004년 11월 06일,0,13536487500,1,3,17,32,35,45,8,133,22.17,5:1,0,0,0,
102,2004년 11월 13일,0,13114377603,17,22,24,26,35,40,42,164,27.33,2:4,0,0,0,
103,2004년 11월 20일,0,13532716504,5,14,15,27,30,45,10,136,22.67,4:2,0,0,0,
104,2004년 11월 27일,0,13221487500,17,32,33,34,42,44,35,202,33.67,2:4,0,0,0,
105,2004년 12월 04일,0,13667125800,8,10,20,34,41,45,28,158,26.33,2:4,0,0,0,
106,2004년 12월 11일,0,12967378512,4,10,12,22,24,33,29,105,17.5,1:5,0,0,0,
107,2004년 12월 18일,0,13359855600,1,4,5,6,9,31,17,56,9.33,4:2,0,0,0,
108,2004년 12월 25일,0,13992305404,7,18,22,23,29,44,12,143,23.83,3:3,0,0,0,
109,2005년 01월 01일,0,14962058400,1,5,34,36,42,44,33,162,27.0,2:4,0,0,0,
110,2005년 01월 08일,0,13698786000,7,20,22,23,29,43,1,144,24.0,4:2,0,0,0,
111,2005년 01월 15일,0,13194284700,7,18,31,33,36,40,27,165,27.5,3:3,0,0,0,
112,2005년 01월 22일,0,14105440503,26,29,30,33,41,42,43,201,33.5,3:3,0,0,0,
113,2005년 01월 29일,0,14053760406,4,9,28,33,36,45,26,155,25.83,3:3,0,0,0,
114,2005년 02월 05일,0,14174070300,11,14,19,26,28,41,2,139,23.17,3:3,0,0,0,
115,2005년 02월 12일,0,13397306103,1,2,6,9,25,28,31,71,11.83,3:3,0,0,0,
116,2005년 02월 19일,0,13984231205,2,4,25,31,34,37,17,133,22.17,3:3,0,0,0,
117,2005년 02월 26일,0,14025405006,5,10,22,34,36,44,35,151,25.17,1:5,0,0,0,
118,2005년 03월 05일,0,12979897200,3,4,10,17,19,22,38,75,12.5,3:3,0,0,0,
119,2005년 03월 12일,0,13274094600,3,11,13,14,17,21,38,79,13.17,5:1,0,0,0,
120,2005년 03월 19일,0,13093590900,4,6,10,11,32,37,30,100,16.67,2:4,0,0,0,
121,2005년 03월 26일,0,13679296200,12,28,30,34,38,43,9,185,30.83,1:5,0,0,0,
